3-gram,frequency
"('MOV', 'POP', 'POP')",256265
"('POP', 'POP', 'POP')",363636
"('POP', 'POP', 'RET_NEAR')",319486
"('POP', 'RET_NEAR', 'MOV')",225884
"('RET_NEAR', 'MOV', 'MOV')",96436
"('MOV', 'MOV', 'CALL_NEAR')",161721
"('MOV', 'CALL_NEAR', 'LEA')",30486
"('CALL_NEAR', 'LEA', 'CALL_NEAR')",7817
"('LEA', 'CALL_NEAR', 'MOV')",65548
"('CALL_NEAR', 'MOV', 'PUSH')",720703
"('MOV', 'PUSH', 'MOV')",1167272
"('PUSH', 'MOV', 'SUB')",176970
"('MOV', 'SUB', 'MOV')",172820
"('SUB', 'MOV', 'PUSH')",27314
"('MOV', 'PUSH', 'PUSH')",509615
"('PUSH', 'PUSH', 'MOV')",412208
"('PUSH', 'MOV', 'XOR')",76135
"('MOV', 'XOR', 'MOV')",200085
"('XOR', 'MOV', 'CMP')",35592
"('MOV', 'CMP', 'JZ')",380384
"('CMP', 'JZ', 'MOV')",317060
"('JZ', 'MOV', 'MOV')",205180
"('MOV', 'MOV', 'TEST')",223850
"('MOV', 'TEST', 'JNZ')",257349
"('TEST', 'JNZ', 'TEST')",56657
"('JNZ', 'TEST', 'JZ')",45202
"('TEST', 'JZ', 'PUSH')",182126
"('JZ', 'PUSH', 'MOV')",51517
"('PUSH', 'MOV', 'AND')",29581
"('MOV', 'AND', 'CMP')",31520
"('AND', 'CMP', 'JNZ')",18954
"('CMP', 'JNZ', 'CMP')",129550
"('JNZ', 'CMP', 'JB')",6905
"('CMP', 'JB', 'LEA')",7232
"('JB', 'LEA', 'MOV')",1987
"('LEA', 'MOV', 'NOT')",332
"('MOV', 'NOT', 'CMP')",791
"('NOT', 'CMP', 'JNZ')",738
"('CMP', 'JNZ', 'MOV')",254716
"('JNZ', 'MOV', 'NOT')",811
"('CMP', 'JNZ', 'XOR')",35140
"('JNZ', 'XOR', 'CMP')",12794
"('XOR', 'CMP', 'JNZ')",40839
"('CMP', 'JNZ', 'TEST')",33011
"('TEST', 'JZ', 'OR')",12419
"('JZ', 'OR', 'CMP')",1435
"('OR', 'CMP', 'JB')",374
"('CMP', 'JB', 'MOV')",49099
"('JB', 'MOV', 'MOV')",18413
"('MOV', 'MOV', 'POP')",139907
"('POP', 'POP', 'LEAVE')",128828
"('POP', 'LEAVE', 'RET_NEAR')",183350
"('LEAVE', 'RET_NEAR', 'RET_NEAR')",1635
"('RET_NEAR', 'RET_NEAR', 'AND')",380
"('RET_NEAR', 'AND', 'CALL_NEAR')",628
"('AND', 'CALL_NEAR', 'MOV')",3445
"('CALL_NEAR', 'MOV', 'MOV')",195841
"('MOV', 'MOV', 'MOV')",1822902
"('MOV', 'MOV', 'RET_NEAR')",12889
"('MOV', 'RET_NEAR', 'OR')",715
"('RET_NEAR', 'OR', 'CMP')",828
"('OR', 'CMP', 'JNZ')",3502
"('CMP', 'JNZ', 'JMP')",17586
"('JNZ', 'JMP', 'MOV')",12168
"('JMP', 'MOV', 'CMP')",29840
"('MOV', 'CMP', 'JNB')",40336
"('CMP', 'JNB', 'MOV')",54340
"('JNB', 'MOV', 'MOV')",18244
"('MOV', 'MOV', 'CMP')",282471
"('MOV', 'CMP', 'JNZ')",245888
"('JNZ', 'TEST', 'JNZ')",47574
"('TEST', 'JNZ', 'MOV')",236785
"('JNZ', 'MOV', 'MOV')",156418
"('CMP', 'JZ', 'LEA')",42092
"('JZ', 'LEA', 'MOV')",12677
"('LEA', 'MOV', 'CMP')",21176
"('JZ', 'PUSH', 'CALL_NEAR')",105936
"('PUSH', 'CALL_NEAR', 'MOV')",841652
"('PUSH', 'MOV', 'PUSH')",667067
"('PUSH', 'PUSH', 'XOR')",49879
"('PUSH', 'XOR', 'CMP')",23974
"('XOR', 'CMP', 'JZ')",51376
"('CMP', 'JZ', 'PUSH')",169528
"('PUSH', 'MOV', 'LEA')",55902
"('MOV', 'LEA', 'PUSH')",135511
"('LEA', 'PUSH', 'PUSH')",382774
"('PUSH', 'PUSH', 'PUSH')",1277216
"('PUSH', 'PUSH', 'CALL_NEAR')",920833
"('PUSH', 'CALL_NEAR', 'POP')",110810
"('CALL_NEAR', 'POP', 'LEAVE')",2516
"('LEAVE', 'RET_NEAR', 'JMP')",11495
"('RET_NEAR', 'JMP', 'MOV')",15158
"('JMP', 'MOV', 'JMP')",33474
"('MOV', 'JMP', 'MOV')",132368
"('TEST', 'JZ', 'CALL_NEAR')",23817
"('JZ', 'CALL_NEAR', 'MOV')",21433
"('CALL_NEAR', 'MOV', 'XOR')",44615
"('MOV', 'XOR', 'CMP')",61659
"('XOR', 'CMP', 'SETNZ')",7707
"('CMP', 'SETNZ', 'RET_NEAR')",848
"('SETNZ', 'RET_NEAR', 'TEST')",1081
"('RET_NEAR', 'TEST', 'JNZ')",46084
"('JNZ', 'MOV', 'CALL_NEAR')",18413
"('MOV', 'CALL_NEAR', 'MOV')",322899
"('MOV', 'MOV', 'LEA')",148348
"('MOV', 'LEA', 'CMP')",24754
"('LEA', 'CMP', 'JNZ')",17851
